Date,High,Low,Open,Close,Volume,Adj Close
2019-07-09,136.97000122070312,135.8000030517578,136.0,136.4600067138672,19953100,136.4600067138672
2019-07-10,138.5800018310547,137.02000427246094,137.1300048828125,137.85000610351562,24204400,137.85000610351562
2019-07-11,139.22000122070312,137.8699951171875,138.1999969482422,138.39999389648438,22327900,138.39999389648438
2019-07-12,139.1300048828125,138.00999450683594,138.85000610351562,138.89999389648438,18936800,138.89999389648438
2019-07-15,139.5399932861328,138.4600067138672,139.44000244140625,138.89999389648438,16651500,138.89999389648438
2019-07-16,139.0500030517578,136.52000427246094,138.9600067138672,137.0800018310547,22726100,137.0800018310547
2019-07-17,137.92999267578125,136.22000122070312,137.6999969482422,136.27000427246094,20211000,136.27000427246094
2019-07-18,136.6199951171875,134.6699981689453,135.5500030517578,136.4199981689453,30808700,136.4199981689453
2019-07-19,140.6699981689453,136.4499969482422,140.22000122070312,136.6199951171875,48992400,136.6199951171875
2019-07-22,139.19000244140625,137.3300018310547,137.41000366210938,138.42999267578125,25074900,138.42999267578125
2019-07-23,139.99000549316406,138.02999877929688,139.75999450683594,139.2899932861328,18034600,139.2899932861328
2019-07-24,140.74000549316406,138.85000610351562,138.89999389648438,140.72000122070312,20738300,140.72000122070312
2019-07-25,140.61000061035156,139.32000732421875,140.42999267578125,140.19000244140625,18356900,140.19000244140625
2019-07-26,141.67999267578125,140.3000030517578,140.3699951171875,141.33999633789062,19037600,141.33999633789062
2019-07-29,141.50999450683594,139.3699951171875,141.5,141.02999877929688,16605900,141.02999877929688
2019-07-30,141.22000122070312,139.8000030517578,140.13999938964844,140.35000610351562,16846500,140.35000610351562
2019-07-31,140.49000549316406,135.0800018310547,140.3300018310547,136.27000427246094,38598800,136.27000427246094
2019-08-01,140.94000244140625,136.92999267578125,137.0,138.05999755859375,40557500,138.05999755859375
2019-08-02,138.32000732421875,135.25999450683594,138.08999633789062,136.89999389648438,30791600,136.89999389648438
2019-08-05,133.92999267578125,130.77999877929688,133.3000030517578,132.2100067138672,42749600,132.2100067138672
2019-08-06,135.67999267578125,133.2100067138672,133.8000030517578,134.69000244140625,32696700,134.69000244140625
2019-08-07,135.64999389648438,131.8300018310547,133.7899932861328,135.27999877929688,30745600,135.27999877929688
2019-08-08,138.97999572753906,135.92999267578125,136.60000610351562,138.88999938964844,21140017,138.88999938964844
